id,text,label,predictor,confidence
79,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report <URL>",2,,
80,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  <URL> #sxsw,1,,
81,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,1,,
82,Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW <URL> via @mention,2,,
83,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: <URL>",1,,
84,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",1,,
85,Stay tune @mention showcase #H4ckers <URL> #SXSW,2,,
86,Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck <URL>,2,,
87,Thank you @mention for an awesome #sxsw party! <URL>,2,,
88,"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: <URL> #SXSW",2,,
89,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. <URL> #sxswh #sxsh,1,,
90,Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog <URL> #sxsw #sxswh,2,,
91,Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog <URL> #sxsw #sxswh #mhealth,2,,
92,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,3,,
93,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,2,,
94,Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,2,,
95,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",1,,
96,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) <URL>,1,,
97,"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw <URL> #SXSW",2,,
98,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",1,,
99,GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! <URL> #SXSW #Austin #Welivehere #GSDM,2,,
100,"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today <URL> rt @mention #sxsw&quot;",2,,
101,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! <URL> #gadget,1,,
102,â€œ@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. <URL> #wow,2,,
103,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,3,,
104,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",1,,
105,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",2,,
106,"â€œ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.â€ù",1,,
107,"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",2,,
108,#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  <URL>   #Apple  constructs  &quot;pop-up&quot; store  <URL>,2,,
109,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",1,,
110,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,2,,
111,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,1,,
112,Spark for #android is up for a #teamandroid award at #SXSW read about it here: <URL>,1,,
113,"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW <URL>",2,,
114,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",1,,
115,"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs <URL>",2,,
116,"At #SXSW, #Apple schools the marketing experts - <URL>",1,,
117,"At #SXSW, #Apple schools the marketing experts <URL>",2,,
118,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  <URL>",1,,
119,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",1,,
120,â€œ@mention #Apple wins #SXSW <URL> Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,1,,
121,#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,1,,
122,"Headed to #Austin for #SXSW? Check out my map for newbies <URL> @mention @mention , @mention @mention Enjoy!",2,,
123,Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,2,,
124,Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,1,,
125,#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.,2,,
126,The Apple #iPAD2  has taken #SxSW and #Austin by storm.. <URL>  @mention excited to a be a part #mobile,1,,
127,I can haz #iPad2 ifrom #SxSW Gr8 <URL>,1,,
128,"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly <URL>",1,,
129,"#Google's #Mobile Future, and the Elusive 'Power of Here' - <URL> (via @mention #eurorscg #sxsw #sxswi",2,,
130,"For those #notatSXSW (or at #SXSW), here's <URL> Free to download and meet nearby peps",2,,
131,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..<URL>  #seo #sxsw,1,,
132,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..<URL> #seo #sxsw,2,,
133,"#Samsung, #Sony follow #Apple, #HP lead @mention <URL> #Austin #atx #SXSW",2,,
134,"#Samsung, #Sony follow #Apple, #HP lead @mention <URL> #Austin #atx #SXSW /via @mention ^rg",2,,
135,"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. <URL>",1,,
136,"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: <URL>",1,,
137,Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,2,,
138,Any other #Sxsw accounts I need to follow or apps to download for iPhone?,2,,
139,Headed to #sxsw and want to share/gather contact info? <URL> can turn your iphone into a business card broadcaster.,2,,
140,Headed to #sxsw and want to share/gather contact info? <URL> can turn your iphone into a... <URL>,2,,
141,BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,2,,
142,Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - <URL>,1,,
143,Temporary #sxsw apple store. Apple being sneaky as usual  <URL>,1,,
144,Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,2,,
145,â€œ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.â€ù,1,,
146,Apple won #SxSW from day one. Seeing a TON of #iPad2,1,,
147,#fastball #sxsw Giving away two NEW Ipad2 wifi 32g black Apple cover tweet @mention fo more info #sxswi #attsxsw  Tonight @mention bo.lt house,2,,
148,Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,2,,
149,â€œ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteâ€ù @mention Did you manage to get yours?,1,,
150,â€œ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteâ€ù also known as the white jeans configuration.,1,,
151,Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,1,,
152,@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.,2,,
153,Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,2,,
154,Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?,2,,
155,Marc Ecko #SXSW launches #iPhone app. to autodial political change! <URL> #edreform #edtech #eduVC #FightThePaddle,2,,
156,#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,1,,
157,@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time <URL> #lp #travel,1,,
158,"More free #SXSW mp3 downloads, this time from iTunes: <URL>",2,,
159,Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,2,,
160,@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk,2,,
161,The Apple #SXSW store still has iPad 2's and short lines.,1,,
162,Essential #sxsw tools: <URL>,2,,
163,"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",1,,
164,"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today.",2,,
165,Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,2,,
166,Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,1,,
167,Solving a #SXSW-induced iPhone-in-toilet crisis at Apple Store with @mention (not my crisis for once),2,,
168,"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",1,,
169,Attending #sxsw? Austin Guide by @mention is now free to download on iTunes - <URL> #lp,2,,
170,"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",3,,
171,Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | <URL> #SXSW #SXSWi,1,,
172,ipad2 and #sxsw...a conflagration of doofusness.  <URL>,3,,
173,attention #sxsw'ers - <URL> - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,1,,
174,I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) <URL>,1,,
175,Hey #sxsw #sxswi folks. If you want to learn about security come over to #bsidesaustin <URL>,2,,
176,Attending #SXSWi? Work in iPhone / iPad game development? Looking to hire an Austin-based iOS developer? I'm your man. Let's talk. #SXSW,2,,
177,This is a #WINNING picture #android #google #sxsw <URL>,1,,
178,GSD&amp;M + Google 7-10. RT @mention What's the best party to hit tonight? #sxsw @mention @mention,2,,
179,GSD&amp;M + Google Industry Party #SXSW @mention great to meet you  <URL>,2,,
180,"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW <URL>",3,,
181,#sxsw day 1 - Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile <URL>,2,,
182,Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,1,,
183,It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,1,,
184,.@mention 1154 free songs from #SXSW (this year alone!) <URL>,2,,
185,more than 150 million mobile users for Google Maps for Mobile #SXSW,2,,
186,Currently 150 people in line at the &quot;Pop Up Apple Store&quot; #sxsw,2,,
187,"Only iPad 2 available at #sxsw is the 64GB wifi-only model at $699, plus the optional (not!) leather smart cover at $69",2,,
188,â˜º We love 2 entertain youâ€_Please donâ€™t be grateful! â˜_ <URL> â„_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,2,,
189,Less than 2 hours until we announce the details on the iPad 2 giveaway! #SXSW #SXSWi,2,,
190,"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw",3,,
191,(The iPad 2 queue at #sxsw of course,2,,
192,The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention <URL>,1,,
193,many iPad 2's snapping away at the keynote slides! #sxsw,1,,
194,Apple has 200M users' credit cards sync'd with iTunes for one click purchase. . #winning #sxsw,2,,
195,Having my 2nd cocktail &quot;Texas Snowflake&quot;  ( @mention google it!!) at the #CNNGrill #SxSw,2,,
196,New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive <URL> #SXSW #SXSWi,1,,
197,New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive #SXSW #SXSWi <URL>,2,,
198,sweet new 3-d google maps demo going on in ballroom D #SXSW,1,,
199,More than 35 million miles per day are driving with Google Maps Navigation! #SXSW,1,,
200,rt ' It's 4 p.m. and the #iPad2 line at the Apple store is longer and wider â€“ about 250 people! Only one more hour. ' #sxsw,2,,
201,"U = smart 4 packing an extra :) RT @mention On my way to sunny Austin for #sxsw! Extra iPhone in stow, just in case. @mention @mention",2,,
202,"Wonder if 4sqwill attempt to block GoWalla cross-checkins, the way Facebook blocked Google's contacts connections.  #sxsw #lbsWars",2,,
203,#SXSW day 5 at the #apple store and there's still a line...and growing <URL>,1,,
204,"Check out 5 Steps to Bulletproof UX Strategy at SXSW
<URL> #SXSW #rhjr_ux5  <URL>",2,,
205,"Wandering 6th street with the girls. Stopped for ceviche, mojitos, apple juice &amp; ice cream. #sxsw",2,,
206,"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available",1,,
207,We've got a busy week ahead: Our new book on #Google Apps will be available on Amazon &amp; we're attending #SXSW,2,,
208,"I believe a few went to Aussies at #sxsw RT @mention iPad 2 Sold Out, 70% Went to New Buyers [REPORT] - <URL>",2,,
209,â€œ@mention A Google Spreadsheet of over 270 parties at #SXSW this year O_O <URL> @mention Plan on going to #SXSW Party on,2,,
210,"There was a guy in line for Apple's pop-up store on Sixth Street in Austin. &quot;I'm that guy,&quot; he told me. #sxsw",2,,
211,if u have a iPhone you don't need a car'-use zimride etc to share rides #sxsw #shareable,1,,
212,"I've seen a lot of tablets here, every single one of them is an iPad. #SXSW",2,,
213,Receiving a lot of @mention messages telling me I'm sexy in response to my post looking to meet fellow Christian iPhone devs at #sxsw,2,,
214,Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.,1,,
215,"Now thats a NEWS :P RT@mention Google to Launch Major New Social Network Called Circles, Possibly Today <URL> #sxsw",2,,
216,"Just took a piss at the trade show, iPad in one hand, iPhone in the other. Pissing. I am KIIIIIILLING it right now. #sxsw",2,,
217,"Not to be a rumor monger, but this was a good read Â_ #Google #Circles preview @mention #sxsw <URL> by @mention via @mention #socbiz #fb",1,,
218,HOBO WITH A SHOTGUN iPhone game <URL> #sxsw,2,,
219,Hobo with A Shotgun video game coming to iPad/iPhone users?! Yes please! <URL> #SXSW,1,,
220,build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2,1,,
221,Just took a survey on iPhone while in Starbucks line. Got a free Starbucks gift card. Instant research. Instant gratification. #sxsw #gsdm,2,,
222,Apple has a temporary Retail Store in Austin for the iPad 2 release today. Opens at 5pm. #SXSW #SXSWi #ipad2,2,,
223,Just read about #GroupMe at #SXSW...sounds like an incredible app. Is it available for Android phones yet?,1,,
224,Wondering about Circles? &gt; Google to reveal a new social network at #SXSW <URL>,2,,
225,"google is about search, but local' marissa mayer #sxsw",2,,
226,Wondering about street closures during SXSW? We made a Google Map to show you: <URL> #sxsw #austin,2,,
227,Is Google about to have another go at social with &quot;Google Circles&quot;? #sxsw #google,2,,
228,Questions about what's inside the iPad 2? Fire them my way. #sxsw,2,,
229,Paraormal activity: Sanctuary iphone game. Sketching your AR experience. Interactivity through &quot;magic lense&quot; #EduAR #sxsw,2,,
230,Apple IIe ad in the '85 SI swimsuit issue at a garage sale #sxsw <URL>,2,,
231,Flipboard Adds Instagram Photos and Social Search [Apps] <URL> #Apple #SocialSearch #SXSW,2,,
232,Spent the aftrnoon on a frozen lake photographing my brother Scott &amp; the @mention team. Catch them at #SXSW ths weeknd.  <URL>,2,,
233,"If iPhone alarms botch the timechange, how many #SXSW'ers freak? Late to flights, missed panels, behind on bloody marys...",3,,
234,Shouts to all the ladies holding up their iPad 2's at free #sxsw shows to take photos while sipping free beer. /cc: @mention,1,,
235,"Dj hoodie allen, with all due respect, you should probably make your way back to google #sxsw",2,,
236,I meant I also wish I  at #SXSW #dyac stupid iPhone!,3,,
237,"Just what America needs. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today <URL> #sxsw",2,,
238,Audioboo: American Dream or Bust <URL> #iPad #sxsw #bum #begger #us #socialart #Documentally,2,,
239,Skifta is an app-based media shifting service that turns your Android phone into a ...  #sxsw #mashable #sxswi <URL>,2,,
240,Rumors of an Apple store opening for #SXSW at 6th &amp; Congress. All signs point to yes! <URL>,1,,
241,What does an Apple security guy after he locks up the store..... #sxsw - <URL>,2,,
242,What does an Apple security guy after he locks up the store..... #sxsw - The Realtime SXSW S... <URL> curated by @mention,2,,
243,How I got an iPad 2 during #SXSW!  <URL> cc @mention,2,,
244,picked up an ipad 2 at the #sxsw pop up  apple store! only 15 minute wait!,1,,
245,Brilliant and enlightening game mechanics presentation by @mention from Google #SXSW,1,,
246,GSD&amp;M and Google.....sitting in a tree <URL> #sxsw #gsdm,2,,
247,@mention  and here's a pic of you winning your ipad! #unsix #sxsw cc @mention @mention  <URL> (cont) <URL>,2,,
248,My iPhone and I are both VERY thirsty! #sxsw (@mention Chevy Volt Lounge w/ 16 others) <URL>,2,,
249,My iPhone and I are both VERY thirsty! #sxsw (@mention Chevy Volt Lounge w/ 16 others) <URL> <URL>,2,,
250,"I came in and left #sxsw with my iPhone playing the same song, chosen at random: Skream's Listening to the Records on my wall. Appropriate.",2,,
251,marketing and sales GENIUS: <URL> #Apple #SXSW,1,,
252,"Arduino + android = Flaming skulls  <URL> Refrigerator Speaks , Salon K, 3:30pm @mention @mention #sxsw #smartthings",2,,
253,Reminder: Android and Chrome TTS talk @mention 1 PM today!  <URL>  #sxsw,2,,
254,iPad 2 vs Android vs The World : Panel at #SXSW today 3:30PM by @mention <URL>,2,,
255,"Backupify Announces CloudSight Search, the First Searchable Archive Solution for Social Media and Google Apps #SXSW #SXSWi <URL>",2,,
256,Google is announcing a social network &quot;Circles&quot; (via #SXSW tweets). Interesting. Myopia will cause Buzz jokes. But this is interesting.,2,,
257,"Do I need any more for #sxsw! ipad, iphone, laptop, dictaphone, vid.camera.... Wow! Love to  meet the REAL 'cerebellum' charged people:)",1,,
258,Did u see anything on Google's Circles at the #sxsw? @mention @mention,2,,
259,The #SXSW app for my iPhone is ridiculous. It's my personal planner for the next 5 days.,1,,
260,Our #sxsw app is now on #android :D huge props to @mention @mention @mention &amp; @mention Get it now: <URL>,2,,
261,"Found the app kyping my iPhone's geolocation &amp; not releasing when in background. Need a patch, @mention #batterykiller #SXSW",3,,
262,the #SXSW app on the iPhone is live. RSVP for events from your phone &amp; check out sundayswagger.eventbrite.com 3/20 #scoremore,1,,
263,My iPhone app screen for #sxsw what am I missing?   <URL>,2,,
264,Love this app! So awesome. RT @mention Must see #android app at #sxsw &quot;Bizzy&quot; <URL>,1,,
265,The #SXSW Apple &quot;pop-up&quot; store was nuts. Was still packed at 11:30. <URL>,2,,
266,Say what? Apple #sxsw popup store in Austin! <URL> ~@mention @mention,2,,
267,"BREAKING: Apple announces partnership w/porn industry for new #ipad2 video chat app called, &quot;O-FaceTime&quot;. #sxsw",2,,
268,Of course Apple built a temp store in Austin. It's Texas. They understand the concept of corralling cattle #SXSW #PickMeUpAniPad2,3,,
269,Love that Apple didn't let something like not having a retail store near #SXSW keep them away by opening a pop-up store <URL>,1,,
